ID;LANDSTING_ID;NAME;version;created_by;created_date;last_modified_by;last_modified_date
1;1;Stockholms läns landsting;0;System;null;System;null
2;3;Uppsala läns landsting;0;System;null;System;null
3;4;Södermanlands läns landsting;0;System;null;System;null
4;5;Östergötlands läns landsting;0;System;null;System;null
5;6;Kronobergs läns landsting;0;System;null;System;null
6;7;Kronobergs läns landsting;0;System;null;System;null
7;8;Kalmar läns landsting;0;System;null;System;null
8;9;Gotlands läns landsting;0;System;null;System;null
9;10;Blekinge läns landsting;0;System;null;System;null
10;12;Skåne läns landsting;0;System;null;System;null
11;13;Hallands läns landsting;0;System;null;System;null
12;14;Västra götalands läns landsting;0;System;null;System;null
13;17;Värmlands läns landsting;0;System;null;System;null
14;18;Örebro läns landsting;0;System;null;System;null
15;19;Västmanlands läns landsting;0;System;null;System;null
16;20;Dalarna läns landsting;0;System;null;System;null
17;21;Gävleborgs läns landsting;0;System;null;System;null
18;22;Västernorrlands läns landsting;0;System;null;System;null
19;23;Jämtlands läns landsting;0;System;null;System;null
20;24;Västerbottens läns landsting;0;System;null;System;null
21;25;Norrbottens läns landsting;0;System;null;System;null